#,項目號碼,項目說明,製造商,上次採購價格,供應商最新報價
797,05-30102K133,*UP MICROCHIP 2KB  1.8-3.6V MSP430F2111 TSSOP20 (Synology紅點)(CRC checksum: F653)(Ver.V1)PB_FREE,TI,USD 0.5200,USD 0.5200
798,05-30102K134,*UP MICROCHIP 2KB  1.8-3.6V MSP430F2111 TSSOP20 (Synology黃點)(Buffer checksum: 8F700)(Ver.V2)PB_FREE,TI,USD 0.5200,USD 0.5200
799,05-30108K110,*UP TI 1KB 1.8-3.6V MSP430F233TPM QFP-64 PB_FREE,TI,,
800,05-30256K000,MICRO P 256KB 2.7-3.63V MICROCHIP ATSAMD21J18A-AU TQFP-64,MICROCHIP,USD 11.5000,USD 2.3000
801,05-30256K100,MICRO P 256KB 2.7-3.63V MICROCHIP ATSAMD21J18A-MU VQFN-64,MICROCHIP,USD 3.5887,USD 2.3670
802,05-31008K020,UP MICROCHIP 8KB  2.3-5.5V PIC16F1508ISS SSOP-20 PB_FREE,MICROCHIP,,
803,05-4001G0011,NAND FLASH 1Gb 2.7-3.6V MXIC MX30LF1G28AD-TI TSOP-48,MXIC,USD 0.8500,USD 0.7800
804,05-498500100,Embedded Controller 100KB NPCE985LA0DX LQFP-128 PB_FREE,Nuvoton,,USD 1.3500
805,05-6008G0010,*e-MMC FLASH 8GB 2.7V-3.6V KINGSTON EMMC08G-ML36-GA01,Kingston,USD 2.8000,USD 2.8000
806,05-6008G0011,e-MMC FLASH 8GB 2.7V-3.6V KINGSTON EMMC08G-MV36-GA02,Kingston,,
807,05-6008G0020,e-MMC FLASH 8GB 2.7V-3.6V KIOXIA THGBMUG6C1LBAIL,KIOXIA,USD 2.3000,USD 2.3000
808,05-7002K0001,EEPROM I2C 2Kb 1.7-5.5V GIANTEC GT24C02A-2GLI-TR SOIC-8,GIANTEC,USD 0.0430,USD 0.0430
809,05-7002M0010,EEPROM I2C 2Mb 1.8-5.5V ST M24M02-DRMN6TP SO8N,ST,,
810,05-7004K0011,EEPROM I2C 4Kb 1.7-5.5V ON-SEMI N34TS04MT3ETG TDFN8,ON-SEMI,,USD 0.2800
811,05-7004K0021,EEPROM I2C 4Kb 2.2-3.6V ST STTS2004B2DN3F TDFN8,ST,USD 0.2700,USD 0.2700
812,05-7004K0031,EEPROM I2C 4Kb 1.7-5.5V ATMEL AT24C08C-SSHM-T SOIC-8,MICROCHIP,,
813,05-7064K0010,EEPROM I2C 64Kb 1.7-5.5V GIANTEC GT24C64A-2GLI-TR SOIC,GIANTEC,USD 0.0540,USD 0.0540
814,06-0010251G0,CLOCK GEN 9FGL0251CKILFT VFQFPN-24,IDT,,
815,06-0014420G9,CLOCK GEN 9VRS4420D/9VRS4420DKLFT VFPFQN-48 PB_FREE,IDT,USD 1.2120,USD 1.5760
816,06-001541209,CLOCK GEN 5V41210NLG MLF-32 PB_FREE,IDT,USD 0.7000,USD 0.7800
817,06-001549280,CLOCK GEN 5V49289PAG8 MLF-48 PB_FREE,IDT,USD 0.8500,USD 0.8500
818,06-001549289,CLOCK GEN 5V49289BPAGI8 TSSOP-48 PB_FREE,IDT,USD 0.8500,USD 0.8500
819,06-0018631D0,CLOCK GEN SLG8LV631 QFN-56 PB_Free,SILEGO,USD 1.1000,USD 1.1000
820,06-001911200,*CLOCK GEN ICS9112AM-16 SOIC 8P,ICS,NTD 16.7000,NTD 16.7000
821,06-0019204Z0,CLOCK GEN 9FGP204BKLFT MLF-40 PB_FREE,IDT,USD 2.5000,USD 2.5000
822,06-0019324Z0,*CLOCK GEN 932SQ430AKLF MLF-48 PB_free,IDT,,
823,06-002105265,*LDO 2.5V 1.3A ST1L05PU25R DFN6D PB_FREE,STM,,
824,06-002108401,LDO ADJ(1.25V to 3.3V) AP1084KL-13 TO-263 PB_FREE,DIODE,USD 0.1680,USD 0.1350
825,06-002108410,LDO L1084SG TO-263 PB_FREE,NIKO-SEM,NTD 5.8000,NTD 5.8000
826,06-002108610,*LDO 3.3V 1.5A EZ1086CM-3.3.TR  TO-263 PB_FREE,SEMTECH,,
827,06-002108611,LDO 3.3V 1.5A AP1086K33G-13 TO-263 PB_FREE & Halogen_FREE,DIODE,USD 0.2170,USD 0.2170
828,06-002108612,*LDO 3.3V 1.5A LT1086CM-3.3 TO-220 PB_FREE,LINEAR,USD 2.3000,USD 2.3000
829,06-0021109D0,*LDO ADJ 14A(5.0V to 20V) NCP81109F QFN48 PB_FREE,ON-SEMI,USD 0.9400,USD 1.1300
830,06-002111760,*LDO 3.3V 1A AME1117CCGT SOT-223,AME,NTD 2.6000,NTD 2.6000
831,06-002111761,*LDO 3.3V 1A AP1117E33G-13 SOT-223-3L PB_FREE&Halogen_FREE,DIODES,USD 0.0410,USD 0.0410
832,06-002111762,*LDO ADJ AP1117EG-13 SOT-223-3L PB_FREE&Halogen_FREE,DIODES,USD 0.0500,USD 0.0500
833,06-002111763,*LDO 3.3V 1A AME1117CCGTZ SOT-223 PB_FREE,AME,NTD 1.5000,NTD 1.5000
834,06-002111764,*LDO 1.8V 1A AME1117ECGTZ   SOT-223   PB_FREE,AME,,NTD 1.9000
835,06-002111765,*LDO ADJ(1.8/2.5/3.3/5V) AME1117ACGTZ SOT-223 PB_FREE,AME,NTD 1.4200,NTD 1.4200
836,06-002111766,*LDO 1.8V 1A S-1117A18-R3T1U3 SOT-223 PB_FREE,Seiko,USD 0.0882,USD 0.0882
837,06-002111767,LDO ADJ iD1117-ADA75R SOT-223 PB_FREE,iDESYN,USD 0.0540,USD 0.0540
838,06-002111768,*LDO 3.3V iD1117-33A75R SOT-223 PB_FREE,iDESYN,USD 0.0540,USD 0.0540
839,06-002111769,LDO 1.8V iD1117-18A75R SOT-223 PB_FREE,iDESYN,USD 0.0480,USD 0.0480
840,06-002111790,LDO ADJ 1A(1.25V to 12V) AZ1117R-ADJTRE1 SOT89-3 PB_FREE,DIODES,USD 0.0627,USD 0.0627
841,06-002131197,LDO 1.0V 1A S-13A1A10-U5T1U3 SOT-89-5 PB_FREE,Seiko,USD 0.0840,USD 0.0840
842,06-002131297,LDO 2.5V 1A S-13A1A25-U5T1U3 SOT-89-5 PB_FREE,Seiko,USD 0.0660,USD 0.0640
843,06-002131397,LDO 3.3V 1A S-13A1A33-U5T1U3 SOT-89-5 PB_FREE,Seiko,USD 0.0700,USD 0.0840
844,06-002131597,LDO ADJ 1A(1.0V to 3.5V) S-13A1A00-U5T1U3 SOT-89-5 PB_FREE,Seiko,USD 0.0840,USD 0.0840
845,06-002131897,LDO 1.8V 1A S-13A1A18-U5T1U3 SOT-89-5 PB_FREE,Seiko,USD 0.0700,USD 0.0840
846,06-002255360,LDO ADJ 1.5A(2.5V to 6.5V) TPS2553DBV SOT-23 PB_FREE,TI,USD 0.2900,USD 0.2900
847,06-0027002X0,LDO 2.8V 0.2A TLV70028DDCR  TSOT-23-5 PB_FREE,TI,USD 0.0320,USD 0.0320
848,06-002707TA0,LDO 2.8V 0.2A TLV707T28DBVR SOT-23 PB_FREE,TI,USD 0.0330,USD 0.0330
849,06-0027331H0,LDO ADJ 0.3A(2.0V to 6V) AP7331-SNG-7 DFN2020-6 PB_FREE,DIODES,USD 0.0500,USD 0.0530
850,06-002850010,*UP SUPERVISORY. 2.93V AME8500AEETAF29 SOT-23,AME,NTD 4.5000,NTD 4.5000
851,06-002850011,UP SUPERVISORY. 2.93V AME8500AEETAF29Z SOT-23 PB_FREE,AME,NTD 3.7000,NTD 4.2000
852,06-002917372,*LDO 1.6V-6V 3A RT9173PS SO8 PB_FREE,RICHTEK,NTD 5.1700,NTD 5.1700
853,06-002917990,LDO ADJ 0.3A(1.175V to 4.5V) RT9179GB SOT-23-5 PB_FREE,RICHTEK,USD 0.0680,USD 0.0680
854,06-002918310,LDO ADJ 1.5A(2.3V to 5.5V) RT9183H-CM5 TO-263-5,RICHTEK,NTD 19.2000,NTD 19.2000
855,06-002918340,LDO 3.3V 1.5A RT9183-33GLF  SOP-8 PB_FREE,RICHTEK,,
856,06-0029815P0,LDO 1.5V 0.15A NCP698SQ15T1G SC70-4 PB_FREE,ON-SEMI,USD 0.0990,USD 0.0990
857,06-003353930,RTC S-35390A-J8T1G SOP8 PB_FREE,Seiko,USD 0.2250,USD 0.2250
858,06-003537221,RTC RS5C372A-E2-F SSOP 8P PB_FREE,RICOH,NTD 22.5000,NTD 22.5000
859,06-0040418U0,*SW CRL DC/DC SC418ULTRT MLPQ-UT20 PB_FREE,SEMTECH,,USD 0.4700
860,06-004043100,SW REG. DC/DC TL431ACDBVR(36V/10mA) SOT-23-5 PB_FREE,TI,,USD 0.0735
861,06-004043101,SW REG. DC/DC TL431AIDBZR(36V) SOT-23-3 PB_FREE,TI,,USD 0.0735
862,06-0040488U0,*SW CRL DC/DC SC488MLTRT MLPQ-24 PB_FREE,SEMTECH,,
863,06-0040530M0,SW CRL DC/DC SiC530 MLP-26 PB_FREE,VISHAY,,
864,06-0040632M0,SW CRL DC/DC SiC632CD-T1-GE3 MLP4535-22L PB_FREE,VISHAY,USD 0.5600,USD 0.5600
865,06-0041110D0,SW CRL DC/DC PXE1110CDM-G003 QFN-40 PB_FREE,INFINEON,USD 1.4400,USD 1.4400
866,06-0041142D0,SW CRL DC/DC NCP81142 QFN32 PB_FREE,ON-SEMI,USD 1.0000,USD 1.0000
